omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.261411599069835382e-02 6.848491808778797463e+01 3.049000375060329837e+00 1.183934098349684882e-01 9.723884781468428162e-01 7.972896061738355300e+00 9.999413697621934993e-01 1.000433974744818322e+00 1.001744332187516573e+00 9.995285354632991170e-01 1.002463349517467961e+00 2.290624122311790342e-02
2.254458439298629227e-02 6.843375565854886133e+01 3.080395627792157587e+00 1.186046341965369677e-01 9.715473260739473371e-01 9.503205666026820708e+00 1.000849823011171535e+00 1.000013429238182372e+00 1.000380704453061931e+00 1.003852945358211901e+00 9.987451767236223965e-01 1.232942846463806925e-03
2.241423633392848613e-02 6.804817528593005704e+01 3.056768470528824722e+00 1.190868915118242638e-01 9.661723941987981901e-01 8.298762068299335937e+00 1.002122928258276424e+00 9.986200859141253217e-01 1.004361320441468086e+00 1.000606731783617143e+00 1.005144330829937926e+00 3.183870211948112983e-02
2.235627716868786308e-02 6.806868328674605095e+01 3.058622192696101472e+00 1.188028206938980674e-01 9.690283774057626420e-01 8.384178944723107207e+00 1.001138981638255210e+00 9.996743684477387148e-01 1.000456217365198519e+00 9.984508574108857948e-01 1.001309032508438612e+00 2.432425108793675322e-02
2.259271125077661271e-02 6.846197148628105822e+01 3.046411910466570117e+00 1.183998271187660656e-01 9.669890686698746629e-01 7.574850183061785813e+00 1.002868774718319811e+00 1.001757037653912441e+00 1.000621479872178865e+00 9.991693562846710730e-01 1.005491352670448535e+00 2.017202063929686429e-02
2.233526975062843922e-02 6.831635841814465948e+01 3.052734153987890497e+00 1.182988741628299284e-01 9.705473573562839462e-01 8.290905437825600188e+00 1.000330941347322478e+00 1.000083513004439206e+00 1.004452079028766098e+00 9.945741190940141641e-01 9.996219718342832516e-01 1.736889837914728368e-02
2.249764281485610445e-02 6.850014146952965177e+01 3.059660993144526220e+00 1.181506204982547686e-01 9.738105018455506245e-01 8.730200827718546108e+00 9.986102600407981145e-01 9.982195798512930596e-01 1.000806284730825890e+00 9.986480747008300574e-01 1.004178941142488402e+00 3.361447475327208889e-02
2.247470804646027262e-02 6.870395066762475267e+01 3.058497183697875599e+00 1.177783009461004504e-01 9.755378983172332541e-01 8.542106070051772804e+00 1.000942142596226381e+00 9.996076474124775402e-01 1.006138119186612778e+00 9.966844424596884577e-01 9.976227935550353587e-01 1.353001357765553324e-02
2.260635476759651624e-02 6.847694185607318218e+01 3.064039399027830513e+00 1.183092882519782146e-01 9.706762722887452011e-01 8.304047616097863127e+00 1.004868068187821262e+00 1.002592541444261576e+00 1.005359754673967432e+00 9.965929274689278028e-01 1.005554943198333717e+00 3.133978320188717664e-02
2.257155556861157458e-02 6.877042959275969736e+01 3.041515127958391407e+00 1.179054134717911345e-01 9.696601779921660835e-01 7.837293751064265734e+00 9.982011532117042174e-01 9.997746311002446706e-01 1.004724209610635466e+00 9.914399515965542919e-01 1.002196952898676718e+00 1.027106199107760340e-02
