05:04:58 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_20260811/un_lcdm_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
05:05:48 [ultranest] [INFO] Sampling 400 live points from prior ...
05:07:56 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
05:07:56 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
05:07:56 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
06:17:33 [ultranest] [DEBUG] iteration=165, ncalls=9520, regioncalls=0, ndraw=40, logz=-14879.38, remainder_fraction=100.0000%, Lmin=-14799.59, Lmax=-1922.91
06:18:03 [ultranest] [DEBUG] iteration=168, ncalls=9616, regioncalls=0, ndraw=40, logz=-14725.60, remainder_fraction=100.0000%, Lmin=-14689.67, Lmax=-1922.91
06:18:36 [ultranest] [DEBUG] iteration=172, ncalls=9712, regioncalls=0, ndraw=40, logz=-14567.21, remainder_fraction=100.0000%, Lmin=-14510.86, Lmax=-1922.91
06:19:07 [ultranest] [DEBUG] iteration=176, ncalls=9808, regioncalls=0, ndraw=40, logz=-14394.02, remainder_fraction=100.0000%, Lmin=-14253.62, Lmax=-1922.91
06:19:39 [ultranest] [DEBUG] iteration=179, ncalls=9904, regioncalls=0, ndraw=40, logz=-14222.56, remainder_fraction=100.0000%, Lmin=-14157.75, Lmax=-1922.91
06:20:43 [ultranest] [DEBUG] iteration=181, ncalls=10096, regioncalls=0, ndraw=40, logz=-14149.10, remainder_fraction=100.0000%, Lmin=-14123.25, Lmax=-1922.91
06:21:57 [ultranest] [DEBUG] iteration=184, ncalls=10288, regioncalls=0, ndraw=40, logz=-14009.39, remainder_fraction=100.0000%, Lmin=-13961.81, Lmax=-1922.91
06:22:35 [ultranest] [DEBUG] iteration=186, ncalls=10384, regioncalls=0, ndraw=40, logz=-13966.03, remainder_fraction=100.0000%, Lmin=-13940.03, Lmax=-1922.91
06:23:10 [ultranest] [DEBUG] iteration=190, ncalls=10480, regioncalls=0, ndraw=40, logz=-13847.66, remainder_fraction=100.0000%, Lmin=-13824.08, Lmax=-1922.91
06:23:41 [ultranest] [DEBUG] iteration=192, ncalls=10576, regioncalls=0, ndraw=40, logz=-13769.45, remainder_fraction=100.0000%, Lmin=-13721.03, Lmax=-1922.91
06:24:10 [ultranest] [DEBUG] iteration=195, ncalls=10672, regioncalls=0, ndraw=40, logz=-13708.90, remainder_fraction=100.0000%, Lmin=-13677.86, Lmax=-1922.91
06:24:43 [ultranest] [DEBUG] iteration=197, ncalls=10768, regioncalls=0, ndraw=40, logz=-13588.04, remainder_fraction=100.0000%, Lmin=-13484.52, Lmax=-1863.15
06:25:15 [ultranest] [DEBUG] iteration=198, ncalls=10864, regioncalls=0, ndraw=40, logz=-13491.00, remainder_fraction=100.0000%, Lmin=-13470.54, Lmax=-1863.15
06:25:15 [ultranest] [DEBUG] iteration=200, ncalls=10864, regioncalls=0, ndraw=40, logz=-13474.45, remainder_fraction=100.0000%, Lmin=-13387.03, Lmax=-1863.15
