omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.262879640059894948e-02 6.895820797155323589e+01 3.064221095197364075e+00 1.173884765120433993e-01 9.739564724802201034e-01 8.998569233936676071e+00 9.993933751621196793e-01 9.986388831495054408e-01 1.004576876500809846e+00 9.929540901610243164e-01 1.000667767155149157e+00 9.347862413095294268e-03
2.242500609289746830e-02 6.875799848164155037e+01 3.052091989528400884e+00 1.178959561556129493e-01 9.739811516155776339e-01 8.508894941493480246e+00 9.986780584570216224e-01 1.000068401678467334e+00 1.000178754092911682e+00 9.944638145459020473e-01 1.002872986735375838e+00 3.876864836354073718e-04
2.249847632671136272e-02 6.861992769877878118e+01 3.070685229585821130e+00 1.182463706965667105e-01 9.757254132044155259e-01 9.116946680258653402e+00 1.000816000978673515e+00 1.002862161956212583e+00 9.987531326929108833e-01 9.996694768030678357e-01 9.949245527568405523e-01 8.856034081637677996e-03
2.248366409631542481e-02 6.868169862355961186e+01 3.062229584025183193e+00 1.180772168280292411e-01 9.730644393005786208e-01 8.327564141096194916e+00 1.005321919835514999e+00 1.004890598841959859e+00 1.004255567735669707e+00 9.991191231893797875e-01 1.003734738984965125e+00 6.641330975068682023e-03
2.247967971050465752e-02 6.890791864486656948e+01 3.058768476415179016e+00 1.173308170080349100e-01 9.752294045955502977e-01 8.443865888572101852e+00 1.001736718243742441e+00 1.001170529093562633e+00 1.005373991648600640e+00 9.963146755234942864e-01 1.006869922495057690e+00 1.103469347234614824e-02
2.243478032981625209e-02 6.849016566250000437e+01 3.055448288338818763e+00 1.184635359869004312e-01 9.718762863729556445e-01 8.178737587315577429e+00 1.003388206239599123e+00 9.982906189978293376e-01 1.011573196779804507e+00 9.996598945854116014e-01 1.002316178744450559e+00 6.413905670748480323e-03
2.239242571057050574e-02 6.880148526506005169e+01 3.043576877046875406e+00 1.174177200205329674e-01 9.750112024201238459e-01 7.874037639296089353e+00 1.001482879084882205e+00 1.001762653876175024e+00 1.006170045277489766e+00 9.995442803213414606e-01 9.999349363396694557e-01 1.655568077457942678e-03
2.250422891460401864e-02 6.874949960238240010e+01 3.064048306699780788e+00 1.178537678905046127e-01 9.731868836059603955e-01 8.795877473562427440e+00 1.001839739080703895e+00 1.000816508034085173e+00 1.002108525769878522e+00 9.972917184802033708e-01 1.005226463461514896e+00 6.216048646368498715e-03
2.245504322483115461e-02 6.857613473387033309e+01 3.058131654780808173e+00 1.184340961600251901e-01 9.722594944209597134e-01 8.343962745555199234e+00 1.001197752414182851e+00 1.000582599630419622e+00 1.003326352740885774e+00 9.987782159271311189e-01 1.001548316756346590e+00 4.855424360004463417e-03
2.266774464454342219e-02 6.854451498509224905e+01 3.060064891493149197e+00 1.173645313477248431e-01 9.741858042252897754e-01 8.585728861853681337e+00 1.000750556542660208e+00 1.001972013790131344e+00 1.004988852596138127e+00 1.000155746861294270e+00 9.991040933856558670e-01 5.555598512639600001e-02
2.265438608875822504e-02 6.924521572193823715e+01 3.043926729617700833e+00 1.170126647343353588e-01 9.756976161030254113e-01 8.193597293588027242e+00 9.985761836093146604e-01 9.958631379405232797e-01 1.003751623918640368e+00 9.996418765695538333e-01 1.000159467959267579e+00 2.512133591909646024e-03
2.256818753598449634e-02 6.843124582025431835e+01 3.065062353645876758e+00 1.191374248201047120e-01 9.707358030548277616e-01 8.788280401922840213e+00 9.997464460337465164e-01 1.000391930248747174e+00 1.001834252880775766e+00 9.960560071878623578e-01 9.981793741211377746e-01 1.046538352666423260e-03
2.239613256095926083e-02 6.883499452676480246e+01 3.059564645177966113e+00 1.172726211734397422e-01 9.762727100524043466e-01 8.668486034537316698e+00 1.000213175539372168e+00 1.000156706560555442e+00 1.005126929383655332e+00 9.935935026614954868e-01 1.004994337344548461e+00 1.881821179805210492e-02
2.244177733464235852e-02 6.889341210480910149e+01 3.052010811893846487e+00 1.171923804134201719e-01 9.721282963695430102e-01 7.994754687014333783e+00 1.003414978187536333e+00 1.002018449076998774e+00 1.002145867577511229e+00 9.953108193801882830e-01 1.003964232438530058e+00 1.200157602733939802e-02
2.239325283614905515e-02 6.887534676063177130e+01 3.051841872573085368e+00 1.174386640014402905e-01 9.760672420327376475e-01 8.388542864900255580e+00 1.000126173394083606e+00 9.985242625204050482e-01 1.002216598500356604e+00 9.952512547982858004e-01 1.006399954908146155e+00 5.248530575176924701e-04
2.248823797865235133e-02 6.886033781813796395e+01 3.056007784538959715e+00 1.174171703060585548e-01 9.727767798418294198e-01 8.405855806404572306e+00 1.002071741768888691e+00 9.999150013829071204e-01 1.000952929578379003e+00 1.000674171017959635e+00 1.002306476560679060e+00 2.925022095813114599e-03
2.249417007296213022e-02 6.869289177177165584e+01 3.057528806379381070e+00 1.175367329210194461e-01 9.736789410734598693e-01 8.746522721895336971e+00 9.987526982881086424e-01 9.975073530823455048e-01 1.002835806166550547e+00 9.975418622839087313e-01 1.005291793757628227e+00 2.842782461699806112e-02
2.242824070785644219e-02 6.819236130624835823e+01 3.056588524483981217e+00 1.191490903386074884e-01 9.716131567121873980e-01 8.355513128595639216e+00 1.000440423661147937e+00 1.000358532618148111e+00 1.003690352818173981e+00 9.976964737411740947e-01 1.000740557837030531e+00 3.297073605382240188e-03
2.263732561468414020e-02 6.887436500084412216e+01 3.060913276625607526e+00 1.176814710529771740e-01 9.765077450591340691e-01 8.992082229923223480e+00 9.966615351972424319e-01 9.966210096643737248e-01 1.001781288117652879e+00 1.000486730675032687e+00 9.975045462870719692e-01 2.155776453137409066e-02
2.248950865683551487e-02 6.885574123325383766e+01 3.039109285785134951e+00 1.176528888426865704e-01 9.737604322911881383e-01 7.522591164642172146e+00 1.000485735953680511e+00 1.002188496506394966e+00 1.005042494268578723e+00 9.964755420289074239e-01 9.957127289795923986e-01 3.583191574916829531e-04
2.264341723708623508e-02 6.866612708746464477e+01 3.026583617837984352e+00 1.183444281187013836e-01 9.684915958375794887e-01 6.778291258699207233e+00 1.001176926139705436e+00 9.995888499247017611e-01 1.002382254492605096e+00 1.001678409528361735e+00 9.962561807285187365e-01 5.597001609674663938e-03
2.254154728326383458e-02 6.888525891164616155e+01 3.036981483857009501e+00 1.171984885703888646e-01 9.769231503729254307e-01 7.601509507479726757e+00 1.001413529238746492e+00 1.000470508292157445e+00 1.000401210567536614e+00 9.975377372587930225e-01 1.005960008288221408e+00 1.993882478452956367e-02
2.250242963240056682e-02 6.888356985402793953e+01 3.068948550052559732e+00 1.166754525575421642e-01 9.770079860909532954e-01 9.306584528160055214e+00 1.001564579660932486e+00 9.988890242622536775e-01 1.002617558389603536e+00 9.966681294538839442e-01 9.990857747417087875e-01 3.359580701535191255e-02
2.250006201310800896e-02 6.890811714479079342e+01 3.082547216199473361e+00 1.178395776552913082e-01 9.721365916368289728e-01 9.787247852335148934e+00 1.000334551875773359e+00 9.939301428825946250e-01 1.008295459865856891e+00 9.971340414047499268e-01 1.006146208144329979e+00 9.494797696025483909e-04
2.246590795349825281e-02 6.901017876704514720e+01 3.046659188214201119e+00 1.170025663659007981e-01 9.776104628427736420e-01 8.135294703390506754e+00 9.999765396759636715e-01 9.999813071935547137e-01 1.005738713866906942e+00 9.995485004356251535e-01 1.006331663765488882e+00 4.757780346363846974e-03
2.235875874851403142e-02 6.842982009562649637e+01 3.069107831385033069e+00 1.183236456097970235e-01 9.710527574343171819e-01 9.132653496232077117e+00 9.989809954662514091e-01 9.978776399776545514e-01 1.006432442058397436e+00 9.965078331936407796e-01 9.963946974377875243e-01 1.453809457572400677e-03
2.254112442643725622e-02 6.869498482672092621e+01 3.039873183690942504e+00 1.184885259732062907e-01 9.679965819165347041e-01 7.527296836122157941e+00 1.000308431797765518e+00 9.985440960682907541e-01 1.003224391911285096e+00 9.953905267401561563e-01 1.003860635695097203e+00 8.358581804952342972e-03
2.233442236506303843e-02 6.855355030765743152e+01 3.041973768463687389e+00 1.179810795419719005e-01 9.722007371264590470e-01 7.745008165989121451e+00 1.002742538946395978e+00 9.992075340797461624e-01 1.006155599082055208e+00 9.974143991878203774e-01 1.002790134695914270e+00 5.487086526107735895e-03
2.247228084712185603e-02 6.860605492510532599e+01 3.061573179510917342e+00 1.182264039802700117e-01 9.696314561596851567e-01 8.434884811922408687e+00 1.002992029583269717e+00 1.001840667080103442e+00 1.006184533735156705e+00 9.967409394851824977e-01 1.007271021306654024e+00 3.559563365405494454e-03
2.265204783244801831e-02 6.862707691693016443e+01 3.058314782777638463e+00 1.183149415361338386e-01 9.688418337162182370e-01 8.412459478708729677e+00 1.000363377400795395e+00 9.983866389968982791e-01 1.004783363467775636e+00 9.993857417287137501e-01 1.002099560833671799e+00 4.435595907468872258e-03
2.258766833530854307e-02 6.881653555077717499e+01 3.081036470609308964e+00 1.179849998114166909e-01 9.769552708343910430e-01 9.702481541053085579e+00 1.000267747942034102e+00 9.977903177768719933e-01 1.004901195608711273e+00 9.999747410122626912e-01 1.001231538418266398e+00 2.521372214492939925e-03
2.241663651259484871e-02 6.864034911098923430e+01 3.060285655836797236e+00 1.178485013644574031e-01 9.735803737742885211e-01 8.585980594284563949e+00 1.002356602850375644e+00 1.000286542970595383e+00 1.002169813294052414e+00 9.944271063210079475e-01 1.001942199753180107e+00 1.722870513723893590e-02
2.248045687317646105e-02 6.933281896589659254e+01 3.053898558880014491e+00 1.165847978019615427e-01 9.728434569369674989e-01 8.314431124319259681e+00 1.001979156115073932e+00 1.001351310521706228e+00 1.001113671667661631e+00 9.971760611229033566e-01 9.997106727644350377e-01 3.109005023645728684e-04
2.230342621625611144e-02 6.810664790535756197e+01 3.055223428776222772e+00 1.188782047914389989e-01 9.732473914272866677e-01 8.472463270452266215e+00 9.993313588907825062e-01 1.001242537569840607e+00 1.000372589729877637e+00 9.989038334591174850e-01 9.951736126639458835e-01 1.467991188324004742e-02
2.234817398896255664e-02 6.832485608642076613e+01 3.061131350238227800e+00 1.175522512631634875e-01 9.718091828504511476e-01 8.688921438358024218e+00 1.000680431845356155e+00 1.001027587147515607e+00 1.003698291016452915e+00 9.954073993111859364e-01 1.000884583636871161e+00 4.010440289490670163e-02
2.248455289990990841e-02 6.883665817515638707e+01 3.072832422490327620e+00 1.174921895954663675e-01 9.759684222518871799e-01 9.245895524551539069e+00 1.002375171733182802e+00 9.988004489489501481e-01 1.004860793413780540e+00 1.000195184184129449e+00 1.002652330149492510e+00 2.785639453254823775e-03
2.262258487386165778e-02 6.888236431255253933e+01 3.061991091399876463e+00 1.176737562642370116e-01 9.692716499451647927e-01 8.531232906769670166e+00 1.001764169247038039e+00 9.985655478545822916e-01 1.006605056295534872e+00 9.998051793882217764e-01 1.006398446049890483e+00 1.337172889434188119e-02
2.233936068270470088e-02 6.854044507765254934e+01 3.046972365661264615e+00 1.179613993892526802e-01 9.739174519214183201e-01 8.136517856746245059e+00 1.001004520556645572e+00 9.977497440834770526e-01 1.002802179347744183e+00 1.000371982627354717e+00 1.000781480836188342e+00 6.535141615761995816e-04
2.255181397730758250e-02 6.866363388460516148e+01 3.069656356728490465e+00 1.177359227840480277e-01 9.712403362540611429e-01 8.965876027060842191e+00 1.000598540608905740e+00 9.983797085763091994e-01 1.005888207129194356e+00 9.943601715933325647e-01 1.005471744259040623e+00 1.626815724732074211e-02
2.252945900251403233e-02 6.863204655019049483e+01 3.068312637951509991e+00 1.180136723039591912e-01 9.667151775392475166e-01 8.498156275894068301e+00 1.003112886931606607e+00 1.003094614768744730e+00 1.002086676605738580e+00 1.004746694653297912e+00 1.002027831800546442e+00 1.949596974047064848e-02
2.254062482615542748e-02 6.870878589571965733e+01 3.041235932132850817e+00 1.183171522939350795e-01 9.721736265832917612e-01 7.894221035471121972e+00 9.983878120694784641e-01 9.978529482144116169e-01 9.995683805268404942e-01 9.934291419952130386e-01 1.000838321427415689e+00 7.173055848790631760e-03
2.263373358092583137e-02 6.907010479699756900e+01 3.083057424590807560e+00 1.172433730273918229e-01 9.779731579439947531e-01 9.624412810451980604e+00 1.001529965976129422e+00 1.001360069590718105e+00 1.002239567621145078e+00 9.966242738720906269e-01 1.004967945626069392e+00 8.061725891994430196e-03
2.253996751489972111e-02 6.884233669092762398e+01 3.058173930873782531e+00 1.178437147530591450e-01 9.706362396815678695e-01 8.586554034634653831e+00 9.990957090228151927e-01 9.970220141630281585e-01 1.002538281731142789e+00 9.956167660227038807e-01 1.005230863035633693e+00 1.794190980111598499e-02
2.250588983384124026e-02 6.864312304182328717e+01 3.024143500520516170e+00 1.184876007708629414e-01 9.742157272339238006e-01 6.680064306957075537e+00 1.000439993069774047e+00 1.001784339377311150e+00 9.999339198969887654e-01 9.973512346191452105e-01 1.001224897302317007e+00 2.356837715672903833e-03
2.237653307182941795e-02 6.826988849877224652e+01 3.062473458490362788e+00 1.186930360546860630e-01 9.682663931995927342e-01 8.895894526265637481e+00 9.991611144038388126e-01 9.992248285202443014e-01 1.002539403133964058e+00 9.934484462575732255e-01 9.989664426410403975e-01 1.810289870054184597e-02
