16:55:11 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_noh0_20260813/un_lcdm_noh0_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:55:56 [ultranest] [INFO] Sampling 400 live points from prior ...
16:57:59 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:57:59 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:57:59 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
17:50:38 [ultranest] [DEBUG] iteration=123, ncalls=8752, regioncalls=0, ndraw=40, logz=-18835.28, remainder_fraction=100.0000%, Lmin=-18794.44, Lmax=-1976.11
17:52:44 [ultranest] [DEBUG] iteration=125, ncalls=9040, regioncalls=0, ndraw=40, logz=-18782.06, remainder_fraction=100.0000%, Lmin=-18727.06, Lmax=-1976.11
17:53:19 [ultranest] [DEBUG] iteration=127, ncalls=9136, regioncalls=0, ndraw=40, logz=-18635.76, remainder_fraction=100.0000%, Lmin=-18516.48, Lmax=-1976.11
17:54:43 [ultranest] [DEBUG] iteration=129, ncalls=9328, regioncalls=0, ndraw=40, logz=-18465.30, remainder_fraction=100.0000%, Lmin=-18435.09, Lmax=-1976.11
17:55:19 [ultranest] [DEBUG] iteration=130, ncalls=9424, regioncalls=0, ndraw=40, logz=-18441.40, remainder_fraction=100.0000%, Lmin=-18419.08, Lmax=-1976.11
17:55:50 [ultranest] [DEBUG] iteration=132, ncalls=9520, regioncalls=0, ndraw=40, logz=-18209.62, remainder_fraction=100.0000%, Lmin=-18069.86, Lmax=-1976.11
17:56:16 [ultranest] [DEBUG] iteration=133, ncalls=9616, regioncalls=0, ndraw=40, logz=-18076.18, remainder_fraction=100.0000%, Lmin=-18002.84, Lmax=-1976.11
17:56:44 [ultranest] [DEBUG] iteration=135, ncalls=9712, regioncalls=0, ndraw=40, logz=-17991.95, remainder_fraction=100.0000%, Lmin=-17925.05, Lmax=-1976.11
17:57:27 [ultranest] [DEBUG] iteration=138, ncalls=9808, regioncalls=0, ndraw=40, logz=-17883.48, remainder_fraction=100.0000%, Lmin=-17743.51, Lmax=-1976.11
17:58:08 [ultranest] [DEBUG] iteration=141, ncalls=9904, regioncalls=0, ndraw=40, logz=-17523.84, remainder_fraction=100.0000%, Lmin=-17421.09, Lmax=-1976.11
17:58:40 [ultranest] [DEBUG] iteration=144, ncalls=10000, regioncalls=0, ndraw=40, logz=-17246.80, remainder_fraction=100.0000%, Lmin=-17203.01, Lmax=-1976.11
17:59:13 [ultranest] [DEBUG] iteration=147, ncalls=10096, regioncalls=0, ndraw=40, logz=-16949.59, remainder_fraction=100.0000%, Lmin=-16906.90, Lmax=-1976.11
17:59:43 [ultranest] [DEBUG] iteration=151, ncalls=10192, regioncalls=0, ndraw=40, logz=-16512.78, remainder_fraction=100.0000%, Lmin=-16488.34, Lmax=-1854.80
18:01:32 [ultranest] [DEBUG] iteration=154, ncalls=10480, regioncalls=0, ndraw=40, logz=-16387.04, remainder_fraction=100.0000%, Lmin=-16361.69, Lmax=-1854.80
18:02:05 [ultranest] [DEBUG] iteration=158, ncalls=10576, regioncalls=0, ndraw=40, logz=-15997.68, remainder_fraction=100.0000%, Lmin=-15903.52, Lmax=-1854.80
18:02:05 [ultranest] [DEBUG] iteration=160, ncalls=10576, regioncalls=0, ndraw=40, logz=-15884.89, remainder_fraction=100.0000%, Lmin=-15754.02, Lmax=-1854.80
18:02:45 [ultranest] [DEBUG] iteration=161, ncalls=10672, regioncalls=0, ndraw=40, logz=-15760.42, remainder_fraction=100.0000%, Lmin=-15735.15, Lmax=-1854.80
18:03:48 [ultranest] [DEBUG] iteration=163, ncalls=10864, regioncalls=0, ndraw=40, logz=-15598.60, remainder_fraction=100.0000%, Lmin=-15519.52, Lmax=-1854.80
18:04:18 [ultranest] [DEBUG] iteration=164, ncalls=10960, regioncalls=0, ndraw=40, logz=-15525.92, remainder_fraction=100.0000%, Lmin=-15514.48, Lmax=-1854.80
18:04:59 [ultranest] [DEBUG] iteration=165, ncalls=11056, regioncalls=0, ndraw=40, logz=-15520.88, remainder_fraction=100.0000%, Lmin=-15489.12, Lmax=-1854.80
18:06:43 [ultranest] [DEBUG] iteration=169, ncalls=11248, regioncalls=0, ndraw=40, logz=-15411.33, remainder_fraction=100.0000%, Lmin=-15367.41, Lmax=-1854.80
18:07:50 [ultranest] [DEBUG] iteration=173, ncalls=11440, regioncalls=0, ndraw=40, logz=-15174.97, remainder_fraction=100.0000%, Lmin=-15101.85, Lmax=-1854.80
18:08:43 [ultranest] [DEBUG] iteration=174, ncalls=11536, regioncalls=0, ndraw=40, logz=-15108.28, remainder_fraction=100.0000%, Lmin=-15101.76, Lmax=-1854.80
18:09:18 [ultranest] [DEBUG] iteration=178, ncalls=11632, regioncalls=0, ndraw=40, logz=-14986.73, remainder_fraction=100.0000%, Lmin=-14930.52, Lmax=-1854.80
18:09:58 [ultranest] [DEBUG] iteration=179, ncalls=11728, regioncalls=0, ndraw=40, logz=-14936.96, remainder_fraction=100.0000%, Lmin=-14927.92, Lmax=-1854.80
18:09:58 [ultranest] [DEBUG] iteration=180, ncalls=11728, regioncalls=0, ndraw=40, logz=-14934.29, remainder_fraction=100.0000%, Lmin=-14906.28, Lmax=-1854.80
18:10:33 [ultranest] [DEBUG] iteration=181, ncalls=11824, regioncalls=0, ndraw=40, logz=-14912.72, remainder_fraction=100.0000%, Lmin=-14902.65, Lmax=-1854.80
18:11:06 [ultranest] [DEBUG] iteration=184, ncalls=11920, regioncalls=0, ndraw=40, logz=-14853.12, remainder_fraction=100.0000%, Lmin=-14656.20, Lmax=-1854.80
18:11:43 [ultranest] [DEBUG] iteration=187, ncalls=12016, regioncalls=0, ndraw=40, logz=-14606.05, remainder_fraction=100.0000%, Lmin=-14588.69, Lmax=-1854.80
18:12:15 [ultranest] [DEBUG] iteration=188, ncalls=12112, regioncalls=0, ndraw=40, logz=-14595.15, remainder_fraction=100.0000%, Lmin=-14574.19, Lmax=-1854.80
18:13:28 [ultranest] [DEBUG] iteration=190, ncalls=12304, regioncalls=0, ndraw=40, logz=-14545.92, remainder_fraction=100.0000%, Lmin=-14410.00, Lmax=-1854.80
18:14:05 [ultranest] [DEBUG] iteration=193, ncalls=12400, regioncalls=0, ndraw=40, logz=-14355.62, remainder_fraction=100.0000%, Lmin=-14322.00, Lmax=-1854.80
18:14:39 [ultranest] [DEBUG] iteration=196, ncalls=12496, regioncalls=0, ndraw=40, logz=-14307.38, remainder_fraction=100.0000%, Lmin=-14275.38, Lmax=-1854.80
18:15:45 [ultranest] [DEBUG] iteration=199, ncalls=12688, regioncalls=0, ndraw=40, logz=-14260.04, remainder_fraction=100.0000%, Lmin=-14241.92, Lmax=-1854.80
18:15:45 [ultranest] [DEBUG] iteration=200, ncalls=12688, regioncalls=0, ndraw=40, logz=-14248.41, remainder_fraction=100.0000%, Lmin=-14228.22, Lmax=-1854.80
