omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.235568219394150000e-02 6.830958880178209824e+01 3.062332583662842111e+00 1.185526046780857046e-01 9.708958355480383773e-01 8.692199494656199121e+00 1.000064316574245105e+00 9.971114354238245214e-01 1.006578824633681313e+00 9.966987004661091998e-01 9.991957067167778206e-01 1.113939654974153808e-02
2.249757796470370358e-02 6.848109857370347697e+01 3.068506067470887277e+00 1.178948576984071572e-01 9.732754730423638367e-01 8.986330699822591583e+00 1.002063979419110185e+00 1.000489851052795531e+00 1.002350844494674931e+00 9.970897821980626574e-01 1.004880804351548251e+00 3.355739027445499290e-02
2.249670428941306227e-02 6.814984820534040466e+01 3.038284581175594301e+00 1.194909421178242809e-01 9.706786414075330161e-01 7.466799032882556197e+00 1.000011463561671254e+00 9.966091324641193072e-01 1.003144567336808235e+00 9.990145426289069874e-01 9.995060580517742821e-01 1.828432275586635083e-02
2.247510884431585393e-02 6.824349307393102038e+01 3.042655227041961563e+00 1.187227786643874905e-01 9.718301636734408833e-01 7.810881033218991298e+00 9.995312250288710398e-01 9.980181941266867973e-01 1.007715964729274605e+00 9.937998385893266340e-01 1.002457474249285108e+00 2.660815678789854935e-02
2.242416207888700552e-02 6.823282059838042812e+01 3.064421538838363990e+00 1.184110808193889475e-01 9.708002255304239991e-01 8.367619786956252526e+00 1.004978581187815800e+00 1.001638628023279187e+00 1.003427392637735283e+00 9.985292125782342376e-01 1.006536825322162487e+00 2.455776746050562440e-02
2.259397543683090356e-02 6.821595256860439349e+01 3.054731647401694783e+00 1.192423887986585052e-01 9.709431139117928877e-01 8.208677867476776413e+00 1.000798619604519990e+00 9.983336445946930926e-01 9.994182818389000245e-01 9.984931530414039580e-01 1.002215107630532787e+00 1.775722193939489185e-02
2.233708652428604419e-02 6.845335323685449680e+01 3.057240537520586887e+00 1.176805659073929394e-01 9.763787146423342778e-01 8.433570222704105390e+00 1.001658994109018597e+00 1.000957525627502731e+00 1.006820972006531090e+00 9.987496504044918177e-01 1.004136044024528385e+00 3.663667739057665379e-02
2.230271143201480871e-02 6.797968028669288287e+01 3.058722019987056395e+00 1.192995137414447487e-01 9.731125031700675887e-01 8.378013921892067728e+00 1.002103419051408428e+00 1.000856618714718982e+00 1.003570034893006779e+00 1.002048115971304831e+00 1.002559119740172866e+00 9.957652560816212042e-03
2.241745435333073605e-02 6.882545243796148782e+01 3.063951109464493339e+00 1.175336005069919365e-01 9.757072897842895554e-01 8.831249367379292892e+00 1.000870408527861910e+00 1.001526882674999008e+00 1.005674803736724465e+00 9.974462153365580841e-01 1.001552069208587303e+00 5.017717706481365260e-03
2.240776657508278605e-02 6.803829522489044734e+01 3.060556213607724008e+00 1.189928841833219342e-01 9.769437159936569248e-01 8.762666009101646836e+00 9.990588142029167562e-01 1.000875548854516017e+00 1.004410674964310468e+00 9.990505069629691537e-01 9.996274817475616636e-01 1.848438491235606870e-02
